OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,X,Y
211981923,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,398602.8121,136388.5716
211981924,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,396217.5594,136051.4436
211981925,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,393785.3036,137766.9431
211981926,111,11th & H St NE,31614,38.899983,-76.991383,400747.4721,136903.4496
211981927,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,395360.7536,137331.4883
211981928,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,399572.3345,136567.8488
211981929,114,North Capitol St & F St NW,31624,38.897446,-77.009888,399142.246,136621.8335
211981930,115,11th & M St NW,31266,38.905607,-77.027137,397646.2168,137528.0736
211981931,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,393900.8889,139414.3282
211981932,117,14th & G St NW,31238,38.898069,-77.031823,397239.4753,136691.4262
211981933,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,395612.7851,130691.7623
211981934,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,395959.4391,135143.5273
211981935,125,11th & F St NW,31262,38.897857,-77.026975,397660.014,136667.7571
211981936,126,23rd & E St NW,31260,38.896104,-77.049882,395672.8064,136473.9966
211981937,127,Lynn & 19th St North,31014,38.897315,-77.070993,393841.5616,136609.6397
211981938,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,393727.5107,136308.3425
211981939,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,393373.1141,136179.64
211981940,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,392660.6158,135986.8924
211981941,131,N Rhodes & 16th St N,31018,38.892164,-77.079375,393113.9503,136038.437
211981942,132,Fairfax Village,31706,38.86559,-76.952103,404156.7748,133086.6177
211981943,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,395960.1716,136069.221
211981944,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,391974.9566,135688.2803
211981945,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,396212.126,139200.6367
211981946,136,Rhode Island & Connecticut Ave NW,31239,38.905996,-77.039802,396547.711,137571.6585
211981947,137,Thomas Circle,31241,38.9059,-77.0325,397181.0576,137560.7509
211981948,138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,392287.4339,135843.3808
211981949,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,391924.5356,135588.4245
211981950,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,391768.7767,135561.9429
211981951,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,396396.7306,136870.5987
211981952,142,4th & C St SW,31243,38.886372,-77.017701,398464.2535,135392.635
211981953,143,4th & E St SW,31244,38.88412,-77.017445,398486.4164,135142.6413
211981954,144,3rd & G St SE,31625,38.881185,-77.001828,399841.3904,134816.6907
211982686,240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,400864.6665,132897.639
211982687,241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,401109.3092,137319.6612
211982688,242,12th & U St NW,31268,38.916787,-77.028139,397559.6888,138769.172
211982689,243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,390883.8896,131609.7125
211982690,244,S Stafford & 34th St S,31064,38.834108,-77.087323,392418.2699,129594.429
211982691,245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,392541.4816,134766.9171
211982692,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,393724.2392,133273.6172
211982693,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,399830.3857,135504.1617
211982694,248,8th & D St NW,31270,38.894851,-77.02324,397983.9271,136333.9781
211982695,249,3rd & Elm St NW,31118,38.917622,-77.01597,398615.0427,138861.609
211982696,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,399588.4184,138920.666
211982697,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,398792.6549,136047.8572
211982698,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,398805.4057,135459.8469
211982699,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,397764.9071,135497.1487
211982700,254,Hamlin & 7th St NE,31514,38.927497,-76.997194,400243.3095,139957.7003
211982701,255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,392484.1179,132743.6373
211982702,256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,390319.5351,132062.2923
211982703,257,Pershing & N George Mason Dr,31069,38.871822,-77.107906,390636.1213,133782.8596
211982704,258,Fenton St & New York Ave,32001,38.985404,-77.023082,398000.1753,146386.1589
211982705,259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,391558.5023,145912.9575
211982706,260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,392010.7503,146216.0997
211982707,261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,383332.8936,158715.5216
211982708,262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,382482.0138,158436.6119
